City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Vardo,NO,2021-12-24 23:16:53,70.3705,31.1107,25.0,65,100,23.06
68,Kodiak,US,2021-12-24 23:16:53,57.79,-152.4072,47.71,31,1,17.27
69,Mataura,NZ,2021-12-24 23:16:54,-46.1927,168.8643,68.11,40,0,2.64
70,Souillac,MU,2021-12-24 23:16:54,-20.5167,57.5167,76.35,88,20,5.75
71,Caribou,US,2021-12-24 23:16:55,46.8606,-68.012,13.28,69,1,10.36
72,Ostrovnoy,RU,2021-12-24 23:16:55,68.0531,39.5131,13.77,87,100,18.03
73,Ancud,CL,2021-12-24 23:16:34,-41.8697,-73.8203,65.73,73,25,4.9
74,Talnakh,RU,2021-12-24 23:16:56,69.4865,88.3972,15.21,95,100,8.25
75,Rosetown,CA,2021-12-24 23:14:19,51.5501,-108.0014,-7.02,90,29,10.67
76,Yarada,IN,2021-12-24 23:16:56,17.65,83.2667,66.52,100,20,2.3
77,Mpika,ZM,2021-12-24 23:16:57,-11.8343,31.4529,62.44,95,99,2.26
78,Atar,MR,2021-12-24 23:16:57,20.5169,-13.0499,71.2,23,0,7.36
79,Sakakah,SA,2021-12-24 23:16:58,29.9697,40.2064,51.37,60,53,8.41
80,Hay River,CA,2021-12-24 23:16:58,60.8156,-115.7999,-18.42,76,75,13.8
81,Oranjemund,NA,2021-12-24 23:16:58,-28.55,16.4333,62.44,93,33,4.92
82,Maridi,SS,2021-12-24 23:16:59,4.9158,29.4742,76.44,42,99,1.83
83,Salinopolis,BR,2021-12-24 23:16:59,-0.6136,-47.3561,79.41,85,99,8.21
84,Salalah,OM,2021-12-24 23:17:00,17.0151,54.0924,69.89,73,0,5.75
85,Roscommon,IE,2021-12-24 23:17:00,53.6333,-8.1833,45.07,97,96,10.38
86,Prata,BR,2021-12-24 23:17:01,-19.3072,-48.9242,69.28,49,0,4.14
87,Nuuk,GL,2021-12-24 23:17:01,64.1835,-51.7216,15.85,70,21,8.52
88,Floro,NO,2021-12-24 23:17:01,61.5996,5.0328,26.56,100,40,5.75
89,Saraland,US,2021-12-24 23:13:32,30.8207,-88.0706,67.41,80,11,8.43
90,Inhambane,MZ,2021-12-24 23:17:02,-23.865,35.3833,76.1,84,59,9.42
91,Nola,IT,2021-12-24 23:17:02,40.922,14.5329,57.54,91,100,4.16
92,Los Llanos De Aridane,ES,2021-12-24 23:17:03,28.6585,-17.9182,60.55,90,75,3.0
93,Manjakandriana,MG,2021-12-24 23:17:03,-18.9167,47.8,65.89,95,100,2.75
94,General Roca,AR,2021-12-24 23:17:04,-39.0333,-67.5833,91.62,12,0,6.33
95,Manokwari,ID,2021-12-24 23:17:04,-0.8667,134.0833,80.58,75,95,4.0
96,Ambon,ID,2021-12-24 23:13:14,-3.6954,128.1814,84.34,74,40,5.75
97,Ciudad Bolivar,VE,2021-12-24 23:18:05,8.1222,-63.5497,83.05,67,46,12.37
98,Catuday,PH,2021-12-24 23:18:06,16.2923,119.8062,76.28,85,8,9.62
99,Provideniya,RU,2021-12-24 23:18:06,64.3833,-173.3,6.98,95,100,18.32
100,Cayenne,GF,2021-12-24 23:18:06,4.9333,-52.3333,77.09,92,90,1.01
101,Leningradskiy,RU,2021-12-24 23:18:07,69.3833,178.4167,-20.97,98,93,4.14
102,Palana,RU,2021-12-24 23:18:07,59.1167,159.9667,3.9,88,100,5.53
103,Lebu,CL,2021-12-24 23:18:08,-37.6167,-73.65,58.91,81,0,21.21
104,Avarua,CK,2021-12-24 23:18:08,-21.2078,-159.775,82.45,83,100,17.27
105,Georgetown,MY,2021-12-24 23:17:14,5.4112,100.3354,78.89,91,20,1.01
106,Ledyard,US,2021-12-24 23:18:09,41.4398,-72.0142,29.17,83,90,3.0
107,Poyarkovo,RU,2021-12-24 23:18:09,49.6,128.6833,-32.13,99,97,4.72
108,Kargopol,RU,2021-12-24 23:18:10,61.5071,38.9456,17.11,92,100,12.57
109,Atambua,ID,2021-12-24 23:18:10,-9.1061,124.8925,73.18,91,100,0.45
110,Dikson,RU,2021-12-24 23:18:11,73.5069,80.5464,-10.3,92,37,7.38
111,Imuris,MX,2021-12-24 23:18:11,30.7833,-110.8667,64.08,57,99,14.97
112,Omboue,GA,2021-12-24 23:18:12,-1.5746,9.2618,77.65,89,92,5.7
113,Filadelfia,US,2021-12-24 23:16:26,39.9523,-75.1638,46.98,60,75,1.01
114,Sioux Lookout,CA,2021-12-24 23:18:12,50.1001,-91.917,32.07,100,90,9.22
115,Bollene,FR,2021-12-24 23:18:13,44.2848,4.753,53.98,92,90,4.61
116,Jamestown,US,2021-12-24 23:18:13,42.097,-79.2353,51.39,65,75,10.36
117,Hasaki,JP,2021-12-24 23:15:48,35.7333,140.8333,45.0,89,100,7.07
118,Mwene-Ditu,CD,2021-12-24 23:18:14,-7.0,23.45,64.83,97,100,3.67
119,Pevek,RU,2021-12-24 23:18:14,69.7008,170.3133,-22.97,100,80,1.81
120,Beringovskiy,RU,2021-12-24 23:18:14,63.05,179.3167,7.43,97,100,15.12
121,Buala,SB,2021-12-24 23:18:15,-8.145,159.5921,84.34,77,100,3.13
122,Hamilton,US,2021-12-24 23:18:15,39.1834,-84.5333,59.99,79,90,5.99
123,Matamoros,MX,2021-12-24 23:18:16,25.5333,-103.25,84.31,16,40,0.0
124,The Valley,AI,2021-12-24 23:18:16,18.217,-63.0578,79.11,78,20,3.44
125,Coahuayana,MX,2021-12-24 23:18:16,18.7333,-103.6833,85.48,56,0,5.77
126,Carnarvon,AU,2021-12-24 23:13:34,-24.8667,113.6333,75.27,83,0,11.5
127,Kemin,KG,2021-12-24 23:18:17,42.7846,75.6892,33.4,54,87,6.08
128,San Jeronimo,PE,2021-12-24 23:18:17,-11.9472,-75.2829,52.72,77,98,3.06
129,Sagara,JP,2021-12-24 23:18:18,34.6833,138.2,48.22,87,40,12.66
130,Qaanaaq,GL,2021-12-24 23:18:18,77.484,-69.3632,3.07,86,98,6.24
131,Laizhou,CN,2021-12-24 23:18:19,37.1717,119.9214,22.01,48,100,17.27
132,Dasoguz,TM,2021-12-24 23:18:19,41.8363,59.9666,26.55,86,90,13.8
133,Trairi,BR,2021-12-24 23:16:40,-3.2778,-39.2689,80.58,80,100,10.36
134,Hofn,IS,2021-12-24 23:18:20,64.2539,-15.2082,37.38,75,100,7.07
135,Padang,ID,2021-12-24 23:18:20,-0.9492,100.3543,75.25,86,43,3.91
136,Auki,SB,2021-12-24 23:18:20,-8.7676,160.7034,83.62,78,100,2.91
137,Alugan,PH,2021-12-24 23:18:21,12.2188,125.4808,80.4,81,95,9.91
138,Vanavara,RU,2021-12-24 23:18:21,60.34,102.2797,-20.94,96,90,3.18
139,Bajos De Haina,DO,2021-12-24 23:18:22,18.4154,-70.0332,80.33,89,75,6.91
140,Broome,US,2021-12-24 23:18:22,42.2506,-75.833,36.7,74,1,1.99
141,Hof,DE,2021-12-24 23:19:23,50.3167,11.9167,42.46,92,90,8.05
142,Khatanga,RU,2021-12-24 23:19:23,71.9667,102.5,-29.43,100,21,5.48
143,Mariental,NA,2021-12-24 23:19:24,-24.6333,17.9667,69.44,42,0,9.08
144,Brae,GB,2021-12-24 23:19:24,60.3964,-1.353,37.31,57,91,8.08
145,Codrington,AU,2021-12-24 23:19:24,-38.2667,141.9667,61.65,82,60,13.42
146,Garoua Boulai,CM,2021-12-24 23:19:25,5.8833,14.55,70.3,32,98,5.28
147,Mount Isa,AU,2021-12-24 23:19:25,-20.7333,139.5,94.77,20,85,6.91
148,Port Lincoln,AU,2021-12-24 23:19:26,-34.7333,135.8667,63.5,77,98,14.58
149,Kanata,CA,2021-12-24 23:19:26,45.3159,-75.8985,23.34,65,90,7.0
150,Severo-Kurilsk,RU,2021-12-24 23:19:26,50.6789,156.125,27.41,84,100,11.7
