City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
163,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
165,Antalaha,MG,85.01,broken clouds,-14.9003,50.2788,Hotel Vitasoa
171,Mayumba,GA,77.31,light rain,-3.432,10.6554,LIKWALE LODGE
177,Lorengau,PG,82.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Ca Mau,VN,83.5,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
179,Bambous Virieux,MU,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
181,Lai,TD,82.94,overcast clouds,9.3952,16.2989,
186,Pitimbu,BR,77.59,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
187,Amahai,ID,78.84,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
195,Faanui,PF,80.19,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
197,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
199,Bhuj,IN,74.39,scattered clouds,23.2667,69.6667,Regenta Resort Bhuj
202,Chhuikhadan,IN,82.4,broken clouds,21.5333,80.9833,All Day Library
203,Murray Bridge,AU,79.68,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
205,Periyanayakkanpalaiyam,IN,83.79,haze,11.15,76.9333,Room
206,Bajil,YE,85.08,clear sky,15.0584,43.2851,فندق حضرموت
208,Cantaura,VE,70.27,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
209,Kieta,PG,81.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
212,Yulara,AU,98.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
216,Road Town,VG,77.0,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
224,Odweyne,SO,81.63,broken clouds,9.4092,45.064,Eng Hiirey House
233,Port Blair,IN,82.51,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Makakilo City,US,73.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
235,Boende,CD,72.32,moderate rain,-0.2167,20.8667,
236,Marawi,PH,70.65,moderate rain,7.9986,124.2928,Derogongan Residence
237,Mercedes,AR,72.86,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
240,Eyl,SO,83.05,overcast clouds,7.9803,49.8164,Amiin Hotel
241,Masuguru,TZ,97.03,overcast clouds,-11.3667,38.4167,
243,Bafang,CM,78.04,overcast clouds,5.1563,10.1788,Motel Mary-Alex
247,Jijiga,ET,74.77,overcast clouds,9.35,42.8,RAMAAS HOTEL
248,La Romana,DO,76.73,clear sky,18.4273,-68.9728,Casa de Campo Resort and Villas
249,Auki,SB,80.58,light rain,-8.7676,160.7034,Auki Motel
252,Lakatoro,VU,83.16,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
257,Mattru,SL,79.79,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
258,Key West,US,75.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
265,Sarangani,PH,79.5,overcast clouds,5.4033,125.4636,Ballistic Islet
273,Mirante Do Paranapanema,BR,75.13,overcast clouds,-22.2919,-51.9064,Pousada Estrela
277,Houma,US,71.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
279,Samarai,PG,84.15,broken clouds,-10.6167,150.6667,Nuli Sapi
281,Gidam,IN,84.83,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
287,Maragogi,BR,79.48,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
293,Afua,BR,75.7,light rain,-0.1567,-50.3867,Hotel Dias
294,Beloha,MG,98.33,overcast clouds,-25.1667,45.05,
295,Bosobolo,CD,87.26,broken clouds,4.1833,19.9,
299,Caravelas,BR,71.55,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
301,Ambositra,MG,74.35,light rain,-20.5167,47.25,Grand Hôtel
302,Pangai,TO,81.45,few clouds,-19.8,-174.35,Ha'apai Beach Resort
303,Coahuayana,MX,74.14,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
305,Kalmunai,LK,82.98,broken clouds,7.4167,81.8167,VS Villa
308,Sinjai,ID,80.94,heavy intensity rain,-5.1241,120.253,Wisma Sandika
